slm_wavelength,phases,amplitudes
751.0,0.7245177516115087,1.0
751.2,0.8842342997207288,1.0
751.4,0.8842342997207288,1.0
751.6,0.8842342997207288,1.0
751.8,0.8842342997207288,1.0
752.0,5.608811647675242,1.0
752.2,5.608811647675242,1.0
752.4,5.608811647675242,1.0
752.6,5.608811647675242,1.0
752.8,3.9494464680328063,1.0
753.0,3.9494464680328063,1.0
753.2,3.9494464680328063,1.0
753.4,3.9494464680328063,1.0
753.6,5.370923101023837,1.0
753.8,5.370923101023837,1.0
754.0,5.370923101023837,1.0
754.2,5.370923101023837,1.0
754.4,4.284868550469278,1.0
754.6,4.284868550469278,1.0
754.8,4.284868550469278,1.0
755.0,4.284868550469278,1.0
755.2,2.7513837352062414,1.0
755.4,2.7513837352062414,1.0
755.6,2.7513837352062414,1.0
755.8,2.7513837352062414,1.0
756.0,2.872376757364806,1.0
756.2,2.872376757364806,1.0
756.4,2.872376757364806,1.0
756.6,2.872376757364806,1.0
756.8,5.801008628210182,1.0
757.0,5.801008628210182,1.0
757.2,5.801008628210182,1.0
757.4,5.801008628210182,1.0
757.6,2.7095726797953876,1.0
757.8,2.7095726797953876,1.0
758.0,2.7095726797953876,1.0
758.2,2.7095726797953876,1.0
758.4,1.6148287548104105,1.0
758.6,1.6148287548104105,1.0
758.8,1.6148287548104105,1.0
759.0,1.6148287548104105,1.0
759.2,2.4783517711840344,1.0
759.4,2.4783517711840344,1.0
759.6,2.4783517711840344,1.0
759.8,2.4783517711840344,1.0
760.0,5.268683118060457,1.0
760.2,5.268683118060457,1.0
760.4,5.268683118060457,1.0
760.6,5.268683118060457,1.0
760.8,2.813877471120965,1.0
761.0,2.813877471120965,1.0
761.2,2.813877471120965,1.0
761.4,2.813877471120965,1.0
761.6,6.071111374197694,1.0
761.8,6.071111374197694,1.0
762.0,6.071111374197694,1.0
762.2,6.071111374197694,1.0
762.4,1.8106753054290108,1.0
762.6,1.8106753054290108,1.0
762.8,1.8106753054290108,1.0
763.0,1.8106753054290108,1.0
763.2,4.027747787619456,1.0
763.4,4.027747787619456,1.0
763.6,4.027747787619456,1.0
763.8,4.027747787619456,1.0
764.0,2.429810735203481,1.0
764.2,2.429810735203481,1.0
764.4,2.429810735203481,1.0
764.6,2.429810735203481,1.0
764.8,1.043774762181045,1.0
765.0,1.043774762181045,1.0
765.2,1.043774762181045,1.0
765.4,1.043774762181045,1.0
765.6,4.106672244194389,1.0
765.8,4.106672244194389,1.0
766.0,4.106672244194389,1.0
766.2,4.106672244194389,1.0
766.4,2.5926393025102956,1.0
766.6,2.5926393025102956,1.0
766.8,2.5926393025102956,1.0
767.0,2.5926393025102956,1.0
767.2,1.5821603989457356,1.0
767.4,1.5821603989457356,1.0
767.6,1.5821603989457356,1.0
767.8,1.5821603989457356,1.0
768.0,2.97447149547384,1.0
768.2,2.97447149547384,1.0
768.4,2.97447149547384,1.0
768.6,2.97447149547384,1.0
768.8,5.021366355452785,1.0
769.0,5.021366355452785,1.0
769.2,5.021366355452785,1.0
769.4,5.021366355452785,1.0
769.6,4.159671686819816,1.0
769.8,4.159671686819816,1.0
770.0,4.159671686819816,1.0
770.2,4.159671686819816,1.0
770.4,0.34558696622955504,1.0
770.6,0.34558696622955504,1.0
770.8,0.34558696622955504,1.0
771.0,0.34558696622955504,1.0
771.2,2.2803565475889287,1.0
771.4,2.2803565475889287,1.0
771.6,2.2803565475889287,1.0
